１文字目,ママ,ママ子音,Y子音,H子音,S子音,N,N,備考
a,a,,,,,,,
b,,b[aiueo],by[aiueo],,,,,
c,,c[aiueo],cy[aiueo],ch[aiueo],,,,
d,,d[aiueo],dy[aiueo],dh[aiueo],,,,
e,e,,,,,,,
f,,f[aiueo],fy[aiueo],,,,,
g,,g[aiueo],gy[aiueo],,,,,
h,,h[aiueo],hy[aiueo],,,,,
I,I,,,,,,,
j,,j[aiueo],jy[aiueo],,,,,
k,,k[aiueo],ky[aiueo],,,,,
l,,l[aiueo],ly[aiueo],,,,,
m,,m[aiueo],my[aiueo],,,,,
n,,n[aiueo],ny[aiueo],,,nn,n(+[^aiueoyn]),
o,o,,,,,,,
p,,p[aiueo],py[aiueo],,,,,
q,,q[aiueo],,,,,,
r,,r[aiueo],ry[aiueo],,,,,
s,,s[aiueo],sy[aiueo],sh[aiueo],,,,
t,,t[aiueo],ty[aiueo],th[aiueo],ts[aiueo],,,
u,u,,,,,,,
v,,v[aiueo],vy[aiueo],,,,,
w,,w[aiueo],wy[aiueo],wh[aiueo],,,,
x,,x[aiueo],xy[aiueo],,,xn,,
y,,y[aueo],,,,,,
z,,z[aiueo],zy[aiueo],,,,,
